domain,prost,symnet2,symnet3_kl,symnet3_no_kl
tamarisk,0.9,0.92 +/- 0.02,0.91 +/- 0.01,0.94 +/- 0.02
traffic,0.94,0.86 +/- 0.02,0.83 +/- 0.04,0.86 +/- 0.03
sysadmin,0.84,0.78 +/- 0.01,0.77 +/- 0.01,0.85 +/- 0.05
skill_teaching,0.9,0.88 +/- 0.02,0.5 +/- 0.07,0.77 +/- 0.09
navigation,0.0,0.28 +/- 0.4,0.3 +/- 0.43,0.3 +/- 0.42
triangle_tireworld,0.03,0.55 +/- 0.29,0.64 +/- 0.21,0.65 +/- 0.07
recon,0.7,0.19 +/- 0.08,0.33 +/- 0.06,0.21 +/- 0.1
elevators,0.93,0.92 +/- 0.01,0.87 +/- 0.06,0.88 +/- 0.01
academic_advising,0.65,0.85 +/- 0.03,0.76 +/- 0.14,0.81 +/- 0.04
crossing_traffic,0.35,0.81 +/- 0.02,0.9 +/- 0.06,0.78 +/- 0.03
game_of_life,0.39,0.81 +/- 0.05,0.28 +/- 0.15,0.66 +/- 0.09
wildfire,0.62,0.76 +/- 0.08,0.33 +/- 0.43,0.87 +/- 0.05
