Instance,Mean Reward
3200,-1005.666667
3201,-411.0
3202,-1061.0
3203,-1073.333333
3204,-422.0
3205,-1011.0
3206,-85.666667
3207,-462.0
3208,-1004.333333
3209,-523.0
3210,-1034.333333
3211,-1011.333333
3212,-1015.0
3213,-1009.666667
3214,-1016.333333
3215,-1003.0
3216,-1052.333333
3217,-1048.0
3218,-1055.0
3219,-1011.0
3220,-1008.0
3221,-473.333333
3222,-1008.333333
3223,-1013.666667
3224,-1004.666667
3225,-1070.666667
3226,-242.666667
3227,-1065.666667
3228,-1005.666667
3229,-1065.333333
3230,-1066.666667
3231,-1072.0
3232,-900.0
3233,-1052.0
3234,-1003.666667
3235,-444.666667
3236,-1008.0
3237,-1005.666667
3238,-227.666667
3239,-646.333333
3240,-1018.0
3241,-1054.0
3242,-1011.333333
3243,-1027.666667
3244,-473.0
3245,-1008.0
3246,-1009.0
3247,-273.333333
3248,-407.666667
3249,-1038.666667
3250,-366.666667
3251,-1008.333333
3252,-1050.0
3253,-1016.0
3254,-1007.666667
3255,-1069.0
3256,-392.0
3257,-1008.0
3258,-1013.0
3259,-1004.0
3260,-326.0
3261,-413.333333
3262,-1004.666667
3263,-1058.0
3264,-1075.0
3265,-1035.666667
3266,-110.666667
3267,-1010.0
3268,-1018.0
3269,-829.0
3270,-1073.666667
3271,-1062.333333
3272,-1065.666667
3273,-1010.333333
3274,-1034.666667
3275,-1070.333333
3276,-1011.0
3277,-1050.666667
3278,-1004.666667
3279,-1007.666667
3280,-1013.666667
3281,-1015.666667
3282,-1020.666667
3283,-947.333333
3284,-1003.333333
3285,-1003.333333
3286,-1066.333333
3287,-1067.666667
3288,-1077.666667
3289,-314.0
3290,-1040.666667
3291,-1072.0
3292,-1004.333333
3293,-1061.333333
3294,-1013.666667
3295,-1014.333333
3296,-351.666667
3297,-223.0
3298,-1004.0
3299,-1002.333333
3300,-262.333333
3301,-1052.333333
3302,-1006.666667
3303,-1017.0
3304,-431.333333
3305,-130.666667
3306,-1042.666667
3307,-1062.666667
3308,-1020.0
3309,-1058.0
3310,-210.0
3311,-1023.666667
3312,-1053.666667
3313,-1003.0
3314,-1007.666667
3315,-1005.333333
3316,-1007.0
3317,-1044.666667
3318,-186.333333
3319,-1005.333333
3320,-1005.0
3321,-1005.666667
3322,-1008.333333
3323,-1028.333333
3324,-189.333333
3325,-1033.0
3326,-1004.666667
3327,-342.333333
3328,-1041.0
3329,-1007.333333
3330,-1056.0
3331,-1046.666667
3332,-1005.0
3333,-256.333333
3334,-1004.0
3335,-1005.0
3336,-1077.333333
3337,-1023.333333
3338,-1004.666667
3339,-250.333333
3340,-1003.333333
3341,-1004.0
3342,-1005.0
3343,-1036.0
3344,-1018.333333
3345,-1054.333333
3346,-1011.666667
3347,-234.333333
3348,-38.666667
3349,-136.333333
3350,-1020.333333
3351,-1034.0
3352,-176.666667
3353,-1022.666667
3354,-514.666667
3355,-1051.666667
3356,-1082.0
3357,-1007.666667
3358,-1004.666667
3359,-756.0
3360,-1012.333333
3361,-1017.333333
3362,-1032.666667
3363,-1086.333333
3364,-1007.333333
3365,-1057.333333
3366,-1080.0
3367,-427.0
3368,-1035.666667
3369,-1007.333333
3370,-226.0
3371,-1026.666667
3372,-1066.0
3373,-1004.666667
3374,-1063.0
3375,-1039.0
3376,-1036.0
3377,-293.0
3378,-1005.333333
3379,-1004.0
3380,-1073.666667
3381,-1007.666667
3382,-643.666667
3383,-154.333333
3384,-1022.666667
3385,-1003.666667
3386,-1054.666667
3387,-1011.333333
3388,-1043.333333
3389,-1068.0
3390,-1060.666667
3391,-1016.333333
3392,-798.0
3393,-377.0
3394,-1044.0
3395,-1010.333333
3396,-1005.333333
3397,-1055.666667
3398,-626.333333
3399,-1002.666667
