Instance,Mean Reward
1110,-311.966667
1111,-325.233333
1112,-326.333333
1113,-323.633333
1114,-323.733333
1115,-323.0
1116,-324.533333
1117,-322.133333
1118,-326.566667
1119,-325.466667
1120,-325.366667
1121,-323.633333
1122,-323.166667
1123,-327.033333
1124,-334.233333
1125,-325.966667
1126,-311.666667
1127,-330.0
1128,-324.933333
1129,-328.333333
1130,-326.1
1131,-322.133333
1132,-326.033333
1133,-321.733333
1134,-326.433333
1135,-322.933333
1136,-334.366667
1137,-334.2
1138,-321.533333
1139,-322.833333
1140,-322.866667
1141,-322.366667
1142,-50.833333
1143,-320.833333
1144,-324.333333
1145,-323.033333
1146,-314.933333
1147,-323.933333
1148,-298.2
1149,-328.566667
