Instance,Mean Reward
1110,-115.8
1111,-17.7
1112,-29.9
1113,-74.933333
1114,-105.0
1115,-89.0
1116,-85.966667
1117,-69.466667
1118,-70.5
1119,-116.6
1120,-94.366667
1121,-29.633333
1122,-9.1
1123,-107.966667
1124,-88.566667
1125,-102.4
1126,-83.566667
1127,-88.5
1128,-76.7
1129,-86.333333
1130,-40.133333
1131,-111.933333
1132,-26.8
1133,-110.2
1134,-93.266667
1135,-96.233333
1136,-85.133333
1137,-110.233333
1138,-80.433333
1139,-105.666667
1140,-82.133333
1141,-105.966667
1142,-107.6
1143,-101.966667
1144,-98.966667
1145,-104.133333
1146,-63.966667
1147,-90.266667
1148,-86.233333
1149,-93.033333
