Instance,Mean Reward
1110,-299.066667
1111,-219.141667
1112,-258.175
1113,-412.875
1114,-432.841667
1115,-294.75
1116,-368.108333
1117,-236.391667
1118,-519.475
1119,-350.375
1120,-350.958333
1121,-189.708333
1122,-290.941667
1123,-386.216667
1124,-199.108333
1125,-437.666667
1126,-345.008333
1127,-383.375
1128,-236.4
1129,-494.233333
1130,-346.633333
1131,-504.35
1132,-333.791667
1133,-312.733333
1134,-228.8
1135,-364.85
1136,-357.325
1137,-265.858333
1138,-321.9
1139,-306.825
1140,-396.125
1141,-512.291667
1142,-464.491667
1143,-173.2
1144,-280.15
1145,-304.783333
1146,-223.8
1147,-440.833333
1148,-401.325
1149,-378.1
