Instance,Mean Reward
3200,-151.133333
3201,-200.0
3202,-195.466667
3203,-200.0
3204,-200.0
3205,-200.0
3206,-200.0
3207,-200.0
3208,-200.0
3209,-30.133333
3210,-193.2
3211,-200.0
3212,-200.0
3213,-200.0
3214,-200.0
3215,-200.0
3216,-194.466667
3217,-183.333333
3218,-200.0
3219,-200.0
3220,-200.0
3221,-197.666667
3222,-200.0
3223,-200.0
3224,-188.333333
3225,-101.333333
3226,-81.933333
3227,-185.266667
3228,-200.0
3229,-200.0
3230,-200.0
3231,-200.0
3232,-172.466667
3233,-200.0
3234,-200.0
3235,-37.533333
3236,-190.0
3237,-200.0
3238,-200.0
3239,-45.333333
3240,-200.0
3241,-200.0
3242,-200.0
3243,-200.0
3244,-39.333333
3245,-200.0
3246,-187.866667
3247,-200.0
3248,-200.0
3249,-192.066667
3250,-196.866667
3251,-200.0
3252,-199.6
3253,-198.0
3254,-200.0
3255,-200.0
3256,-200.0
3257,-200.0
3258,-200.0
3259,-200.0
3260,-200.0
3261,-200.0
3262,-200.0
3263,-200.0
3264,-200.0
3265,-185.066667
3266,-200.0
3267,-200.0
3268,-42.733333
3269,-166.0
3270,-136.266667
3271,-200.0
3272,-154.2
3273,-200.0
3274,-200.0
3275,-200.0
3276,-199.8
3277,-200.0
3278,-200.0
3279,-127.866667
3280,-200.0
3281,-200.0
3282,-200.0
3283,-200.0
3284,-200.0
3285,-41.866667
3286,-200.0
3287,-187.533333
3288,-194.4
3289,-132.6
3290,-36.733333
3291,-200.0
3292,-200.0
3293,-200.0
3294,-190.4
3295,-195.533333
3296,-200.0
3297,-200.0
3298,-200.0
3299,-200.0
3300,-200.0
3301,-192.066667
3302,-167.6
3303,-200.0
3304,-200.0
3305,-200.0
3306,-200.0
3307,-199.8
3308,-197.133333
3309,-37.066667
3310,-198.666667
3311,-197.6
3312,-200.0
3313,-200.0
3314,-195.666667
3315,-200.0
3316,-155.666667
3317,-199.933333
3318,-200.0
3319,-200.0
3320,-200.0
3321,-198.466667
3322,-38.266667
3323,-200.0
3324,-200.0
3325,-186.066667
3326,-107.066667
3327,-200.0
3328,-200.0
3329,-140.0
3330,-180.266667
3331,-200.0
3332,-194.333333
3333,-200.0
3334,-200.0
3335,-161.8
3336,-200.0
3337,-200.0
3338,-153.2
3339,-200.0
3340,-200.0
3341,-200.0
3342,-200.0
3343,-200.0
3344,-200.0
3345,-200.0
3346,-200.0
3347,-200.0
3348,-187.466667
3349,-193.266667
3350,-194.933333
3351,-200.0
3352,-200.0
3353,-200.0
3354,-200.0
3355,-200.0
3356,-186.0
3357,-200.0
3358,-200.0
3359,-200.0
3360,-200.0
3361,-200.0
3362,-200.0
3363,-200.0
3364,-200.0
3365,-200.0
3366,-199.133333
3367,-200.0
3368,-200.0
3369,-200.0
3370,-200.0
3371,-200.0
3372,-200.0
3373,-144.6
3374,-194.466667
3375,-195.8
3376,-200.0
3377,-200.0
3378,-200.0
3379,-199.866667
3380,-182.066667
3381,-200.0
3382,-200.0
3383,-200.0
3384,-172.4
3385,-200.0
3386,-200.0
3387,-200.0
3388,-200.0
3389,-194.133333
3390,-200.0
3391,-185.266667
3392,-200.0
3393,-200.0
3394,-200.0
3395,-200.0
3396,-200.0
3397,-169.666667
3398,-200.0
3399,-186.6
