Instance,Mean Reward
3200,2.295552
3201,5.685248
3202,11.236719
3203,1.641566
3204,2.590241
3205,5.109606
3206,7.214771
3207,4.842173
3208,18.918033
3209,13.998667
3210,14.153937
3211,8.391541
3212,2.921851
3213,2.031186
3214,22.617229
3215,8.085255
3216,9.797189
3217,7.188534
3218,5.976442
3219,6.865131
3220,19.929372
3221,4.475948
3222,9.758139
3223,6.250502
3224,13.812034
3225,3.384934
3226,14.884184
3227,1.727853
3228,8.438713
3229,11.061441
3230,7.69776
3231,6.839465
3232,13.272531
3233,22.112094
3234,7.321758
3235,4.042868
3236,5.274408
3237,7.188383
3238,11.079101
3239,4.458835
3240,5.109772
3241,13.072134
3242,17.67374
3243,2.291508
3244,18.656584
3245,10.836994
3246,3.465551
3247,5.831269
3248,8.258621
3249,6.08925
3250,6.718266
3251,14.742513
3252,13.756173
3253,9.238197
3254,3.479465
3255,16.118511
3256,11.870297
3257,20.714797
3258,2.061393
3259,5.840462
3260,8.44607
3261,10.811273
3262,16.426095
3263,10.746635
3264,13.689313
3265,18.037416
3266,13.639192
3267,16.568587
3268,2.825695
3269,9.116112
3270,11.263959
3271,10.427214
3272,1.900937
3273,3.092126
3274,16.190637
3275,6.474407
3276,9.085651
3277,10.933969
3278,16.622099
3279,2.896749
3280,10.447136
3281,7.829803
3282,3.872875
3283,9.670114
3284,5.842376
3285,4.95179
3286,13.839681
3287,8.332681
3288,5.154915
3289,5.77094
3290,4.031388
3291,6.132518
3292,3.039595
3293,3.260854
3294,6.392759
3295,11.254437
3296,12.592554
3297,4.516612
3298,8.211333
3299,17.437265
3300,2.485545
3301,6.676315
3302,6.108005
3303,1.932972
3304,9.821428
3305,1.414358
3306,1.290922
3307,1.480568
3308,3.561698
3309,5.417939
3310,2.823856
3311,3.76231
3312,4.100715
3313,1.636175
3314,1.460616
3315,1.602077
3316,4.746411
3317,3.81773
3318,2.738735
3319,1.473338
3320,5.901248
3321,1.799819
3322,3.402716
3323,25.589969
3324,1.540136
3325,1.070528
3326,15.117459
3327,4.074274
3328,0.326829
3329,2.99307
3330,3.327013
3331,5.997237
3332,5.096691
3333,5.349943
3334,3.089878
3335,5.207595
3336,2.067241
3337,3.363066
3338,1.045162
3339,5.100806
3340,0.462856
3341,7.497862
3342,1.575073
3343,8.138176
3344,5.942002
3345,1.400826
3346,1.989859
3347,1.852338
3348,19.470872
3349,11.570184
3350,1.17872
3351,8.734272
3352,0.760654
3353,7.170713
3354,18.952271
3355,4.70271
3356,1.805867
3357,1.450104
3358,7.609246
3359,1.532843
3360,0.95223
3361,7.436722
3362,6.127371
3363,2.591865
3364,2.946539
3365,13.459122
3366,2.575646
3367,5.347619
3368,1.90525
3369,2.389299
3370,3.407564
3371,17.0625
3372,2.636375
3373,3.570603
3374,9.043461
3375,2.530426
3376,4.92558
3377,7.104347
3378,6.911903
3379,4.018584
3380,15.299836
3381,0.182986
3382,4.595048
3383,1.390279
3384,9.398562
3385,1.122742
3386,4.53064
3387,3.662026
3388,1.968979
3389,5.157877
3390,4.106789
3391,7.72149
3392,5.847319
3393,16.138092
3394,7.906113
3395,4.345258
3396,6.511377
3397,6.117294
3398,2.182521
3399,3.579213
1110,13.40552
1111,7.094792
1112,7.163564
1113,1.971529
1114,3.969667
1115,20.606479
1116,17.418307
1117,2.135601
1118,15.38347
1119,9.822036
1120,21.409002
1121,18.506405
1122,9.022182
1123,16.304551
1124,13.441183
1125,5.354065
1126,15.830224
1127,7.040375
1128,24.463589
1129,19.227347
1130,11.875299
1131,19.715079
1132,10.048967
1133,4.447216
1134,16.737409
1135,3.909209
1136,14.041308
1137,5.673089
1138,5.123255
1139,27.487162
1140,26.543399
1141,17.372642
1142,19.440084
1143,11.636145
1144,10.866305
1145,2.88848
1146,11.651791
1147,4.837372
1148,6.684294
1149,9.250254
