Instance,Mean Reward
1110,-455.925749
1111,-157.304754
1112,106.000735
1113,-154.464453
1114,-85.403155
1115,-128.967766
1116,-695.125722
1117,-515.38958
1118,49.594895
1119,-428.421169
1120,81.976484
1121,-415.79558
1122,-703.1149
1123,29.736833
1124,-180.192448
1125,-304.117611
1126,-399.65372
1127,-367.12226
1128,-75.305755
1129,5.239317
1130,-74.368498
1131,53.543852
1132,-381.703969
1133,-767.791469
1134,-231.446142
1135,-226.527013
1136,-778.893548
1137,-329.064225
1138,-57.931905
1139,-170.067888
1140,104.509586
1141,-632.644144
1142,-366.445381
1143,90.723124
1144,-260.908408
1145,-155.985747
1146,-111.389816
1147,-344.158698
1148,-659.991271
1149,-8.516046
