Instance,Mean Reward
3200,-40.0
3201,-40.0
3202,-40.0
3203,-40.0
3204,-40.0
3205,-40.0
3206,-40.0
3207,-40.0
3208,-40.0
3209,-40.0
3210,-40.0
3211,-40.0
3212,-40.0
3213,-40.0
3214,-39.833333
3215,-40.0
3216,-40.0
3217,-40.0
3218,-40.0
3219,-40.0
3220,-40.0
3221,-40.0
3222,-40.0
3223,-40.0
3224,-40.0
3225,-40.0
3226,-40.0
3227,-40.0
3228,-40.0
3229,-40.0
3230,-40.0
3231,-40.0
3232,-40.0
3233,-40.0
3234,-40.0
3235,-40.0
3236,-40.0
3237,-40.0
3238,-40.0
3239,-40.0
3240,-40.0
3241,-40.0
3242,-39.633333
3243,-40.0
3244,-40.0
3245,-40.0
3246,-40.0
3247,-40.0
3248,-40.0
3249,-40.0
