Instance,Mean Reward
3200,-27.433333
3201,-39.9
3202,-8.0
3203,-24.033333
3204,-18.133333
3205,-37.9
3206,-40.0
3207,-24.366667
3208,-17.266667
3209,-40.0
3210,-19.633333
3211,-39.5
3212,-40.0
3213,-40.0
3214,-10.0
3215,-10.0
3216,-22.6
3217,-20.633333
3218,-33.466667
3219,-23.8
3220,-15.3
3221,-17.033333
3222,-12.066667
3223,-26.766667
3224,-40.0
3225,-29.133333
3226,-19.933333
3227,-38.133333
3228,-24.533333
3229,-16.166667
3230,-40.0
3231,-34.033333
3232,-37.333333
3233,-18.466667
3234,-35.2
3235,-15.0
3236,-31.866667
3237,-12.1
3238,-11.1
3239,-8.0
3240,-13.866667
3241,-33.833333
3242,-6.0
3243,-27.8
3244,-20.566667
3245,-34.933333
3246,-29.033333
3247,-38.4
3248,-28.5
3249,-39.866667
3250,-15.033333
3251,-10.1
3252,-16.8
3253,-16.1
3254,-33.833333
3255,-20.1
3256,-27.466667
3257,-37.466667
3258,-23.866667
3259,-40.0
3260,-16.266667
3261,-38.866667
3262,-30.366667
3263,-39.1
3264,-30.166667
3265,-16.466667
3266,-14.033333
3267,-40.0
3268,-20.466667
3269,-7.0
3270,-38.666667
3271,-33.1
3272,-28.433333
3273,-37.933333
3274,-22.733333
3275,-38.366667
3276,-21.133333
3277,-10.3
3278,-25.0
3279,-13.066667
3280,-20.4
3281,-14.066667
3282,-21.9
3283,-28.4
3284,-26.166667
3285,-34.366667
3286,-26.033333
3287,-33.333333
3288,-18.733333
3289,-25.966667
3290,-13.0
3291,-16.733333
3292,-14.133333
3293,-8.033333
3294,-30.2
3295,-20.8
3296,-29.3
3297,-13.066667
3298,-8.0
3299,-18.033333
3300,-26.1
3301,-14.266667
3302,-31.033333
3303,-16.633333
3304,-35.566667
3305,-19.933333
3306,-27.9
3307,-31.3
3308,-19.2
3309,-27.966667
3310,-11.0
3311,-26.433333
3312,-19.833333
3313,-10.366667
3314,-21.966667
3315,-26.333333
3316,-18.8
3317,-40.0
3318,-16.366667
3319,-28.533333
3320,-16.733333
3321,-39.066667
3322,-40.0
3323,-19.633333
3324,-12.2
3325,-18.833333
3326,-11.133333
3327,-10.566667
3328,-39.8
3329,-20.566667
3330,-20.9
3331,-21.233333
3332,-7.0
3333,-40.0
3334,-19.0
3335,-38.866667
3336,-13.4
3337,-11.366667
3338,-39.766667
3339,-33.933333
3340,-11.0
3341,-10.0
3342,-19.433333
3343,-16.766667
3344,-8.0
3345,-12.466667
3346,-20.8
3347,-23.7
3348,-28.933333
3349,-39.433333
3350,-39.966667
3351,-23.166667
3352,-40.0
3353,-29.5
3354,-15.3
3355,-26.666667
3356,-38.7
3357,-21.333333
3358,-39.733333
3359,-37.366667
3360,-10.0
3361,-33.1
3362,-39.733333
3363,-21.733333
3364,-20.0
3365,-30.633333
3366,-18.966667
3367,-38.333333
3368,-8.0
3369,-32.1
3370,-25.8
3371,-33.1
3372,-14.466667
3373,-19.333333
3374,-15.0
3375,-20.266667
3376,-11.0
3377,-12.266667
3378,-39.833333
3379,-28.3
3380,-40.0
3381,-20.666667
3382,-25.833333
3383,-39.4
3384,-22.566667
3385,-18.233333
3386,-25.066667
3387,-30.3
3388,-14.0
3389,-11.0
3390,-33.866667
3391,-19.8
3392,-20.1
3393,-39.866667
3394,-40.0
3395,-29.433333
3396,-8.066667
3397,-29.2
3398,-26.866667
3399,-40.0
