Instance,Mean Reward
1110,844.983333
1111,895.108333
1112,550.866667
1113,547.358333
1114,495.308333
1115,754.933333
1116,516.575
1117,719.925
1118,639.058333
1119,665.575
1120,770.075
1121,805.316667
1122,531.866667
1123,703.625
1124,847.066667
1125,482.025
1126,675.958333
1127,861.866667
1128,866.758333
1129,503.741667
1130,650.525
1131,575.15
1132,839.05
1133,725.15
1134,512.991667
1135,880.558333
1136,695.55
1137,560.55
1138,828.966667
1139,529.05
1140,570.525
1141,826.766667
1142,612.341667
1143,784.291667
1144,516.033333
1145,644.133333
1146,545.841667
1147,580.016667
1148,617.966667
1149,869.158333
