Instance,Mean Reward
1110,-1830.827333
1111,-2558.279
1112,-1639.239
1113,-1944.86
1114,-1658.235
1115,-2105.318333
1116,-1372.376667
1117,-1693.918333
1118,-2279.326667
1119,-2176.41
1120,-1973.051667
1121,-2816.857333
1122,-2065.185
1123,-2299.319333
1124,-3003.743333
1125,-2518.973667
1126,-1833.095333
1127,-2200.585
1128,-2601.768333
1129,-2186.685
1130,-2105.476667
1131,-1867.851667
1132,-1910.008
1133,-1860.585
1134,-2142.543333
1135,-2994.393333
1136,-2221.11
1137,-1892.451667
1138,-2453.551667
1139,-2830.768333
1140,-2087.801667
1141,-1846.255333
1142,-2763.868333
1143,-1598.351667
1144,-2698.585
1145,-2200.368333
1146,-3017.535
1147,-1396.293333
1148,-2433.951667
1149,-2385.435
