Instance,Mean Reward
3200,-12.0
3201,-12.0
3202,-21.0
3203,-4.0
3204,-15.233333
3205,-18.0
3206,-1.0
3207,-6.0
3208,-17.966667
3209,-9.0
3210,-7.0
3211,-34.366667
3212,-9.0
3213,-10.0
3214,-33.4
3215,-28.4
3216,-17.266667
3217,-14.066667
3218,-21.0
3219,-18.7
3220,-16.0
3221,-32.666667
3222,-14.0
3223,-9.0
3224,-16.0
3225,-18.333333
3226,-4.0
3227,-10.0
3228,-5.0
3229,-5.0
3230,-14.466667
3231,-26.266667
3232,-14.133333
3233,-22.233333
3234,-9.0
3235,-3.0
3236,-3.0
3237,-19.166667
3238,-20.133333
3239,-14.133333
3240,-9.0
3241,-15.033333
3242,-20.066667
3243,-15.0
3244,-39.766667
3245,-34.333333
3246,-20.966667
3247,-18.633333
3248,-34.733333
3249,-18.633333
3250,-12.0
3251,-3.0
3252,-2.0
3253,-39.4
3254,-32.133333
3255,-8.0
3256,-3.0
3257,-9.0
3258,-5.0
3259,-4.0
3260,-24.166667
3261,-10.0
3262,-40.0
3263,-31.466667
3264,-13.066667
3265,-15.366667
3266,-4.0
3267,-13.0
3268,-6.0
3269,-10.0
3270,-29.033333
3271,-9.0
3272,-15.666667
3273,-11.0
3274,-8.0
3275,-19.533333
3276,-39.566667
3277,-10.0
3278,-13.033333
3279,-12.0
3280,-14.0
3281,-32.266667
3282,-18.233333
3283,-11.0
3284,-23.6
3285,-15.1
3286,-7.0
3287,-39.466667
3288,-10.0
3289,-32.633333
3290,-17.533333
3291,-16.0
3292,-12.0
3293,-3.0
3294,-7.0
3295,-32.6
3296,-4.0
3297,-4.0
3298,-1.0
3299,-4.0
3300,-1.0
3301,-22.5
3302,-17.133333
3303,-32.866667
3304,-16.0
3305,-26.8
3306,-8.0
3307,-12.0
3308,-22.733333
3309,-39.6
3310,-12.133333
3311,-3.0
3312,-13.0
3313,-10.0
3314,-32.833333
3315,-15.066667
3316,-40.0
3317,-10.0
3318,-16.133333
3319,-22.233333
3320,-7.0
3321,-12.1
3322,-12.0
3323,-37.566667
3324,-17.7
3325,-10.0
3326,-11.0
3327,-22.333333
3328,-8.0
3329,-17.066667
3330,-14.633333
3331,-40.0
3332,-20.9
3333,-19.4
3334,-32.466667
3335,-7.0
3336,-13.066667
3337,-7.0
3338,-40.0
3339,-7.0
3340,-38.666667
3341,-7.0
3342,-9.0
3343,-7.0
3344,-18.3
3345,-9.0
3346,-13.0
3347,-10.0
3348,-26.666667
3349,-17.566667
3350,-15.1
3351,-23.933333
3352,-11.0
3353,-7.0
3354,-23.333333
3355,-29.2
3356,-22.533333
3357,-4.0
3358,-15.166667
3359,-9.0
3360,-8.0
3361,-12.0
3362,-25.066667
3363,-9.0
3364,-40.0
3365,-8.0
3366,-2.0
3367,-6.0
3368,-14.0
3369,-19.066667
3370,-14.0
3371,-13.1
3372,-11.0
3373,-17.4
3374,-17.0
3375,-10.0
3376,-40.0
3377,-28.333333
3378,-5.0
3379,-9.0
3380,-4.0
3381,-13.066667
3382,-7.0
3383,-31.3
3384,-23.366667
3385,-2.0
3386,-25.633333
3387,-5.0
3388,-27.9
3389,-11.033333
3390,-13.033333
3391,-17.666667
3392,-20.266667
3393,-40.0
3394,-17.1
3395,-3.0
3396,-17.0
3397,-9.0
3398,-14.0
3399,-16.1
