Instance,Mean Reward
1110,-10000.666667
1111,-31425.333333
1112,-32887.166667
1113,-15953.5
1114,-24771.166667
1115,-49157.5
1116,-13643.833333
1117,-34684.5
1118,-38592.833333
1119,-18508.5
1120,-34143.666667
1121,-32150.333333
1122,-1586.666667
1123,-40809.833333
1124,-48555.166667
1125,-33248.166667
1126,-46975.666667
1127,-47683.0
1128,-43563.166667
1129,-35154.333333
1130,-32241.0
1131,-35632.166667
1132,-55862.5
1133,-45789.833333
1134,-9076.666667
1135,-42227.0
1136,-32690.5
1137,-20775.833333
1138,-35567.166667
1139,-42049.5
1140,-37829.0
1141,-40873.5
1142,-30577.166667
1143,-36136.166667
1144,-19283.166667
1145,-38834.0
1146,-27843.666667
1147,-44454.833333
1148,-21839.833333
1149,-17822.5
