Instance,Mean Reward
3200,-1319.255
3201,-1234.65
3202,-1289.18
3203,-1280.675
3204,-1261.54
3205,-1317.675
3206,-1256.12
3207,-1229.93
3208,-1321.74
3209,-1244.455
3210,-1303.625
3211,-1318.915
3212,-1296.065
3213,-1312.325
3214,-1324.01
3215,-1318.56
3216,-1290.03
3217,-1302.65
3218,-1290.435
3219,-1308.465
3220,-1315.035
3221,-1254.6
3222,-1319.435
3223,-1309.8
3224,-1314.27
3225,-1289.39
3226,-1207.345
3227,-1289.645
3228,-1308.55
3229,-1291.185
3230,-1292.475
3231,-1282.965
3232,-1306.44
3233,-1297.555
3234,-1318.53
3235,-1243.06
3236,-1326.785
3237,-1309.45
3238,-1236.93
3239,-1238.26
3240,-1311.835
3241,-1301.43
3242,-1327.35
3243,-1302.08
3244,-1192.14
3245,-1299.31
3246,-1312.075
3247,-1244.055
3248,-1239.535
3249,-1305.28
3250,-1265.255
3251,-1318.19
3252,-1286.595
3253,-1299.705
3254,-1298.975
3255,-1295.86
3256,-1237.17
3257,-1326.905
3258,-1311.75
3259,-1304.8
3260,-1248.925
3261,-1218.16
3262,-1309.785
3263,-1295.61
3264,-1284.3
3265,-1302.54
3266,-1256.055
3267,-1285.8
3268,-1304.7
3269,-1219.74
3270,-1289.215
3271,-1288.28
3272,-1281.655
3273,-1304.645
3274,-1298.08
3275,-1286.985
3276,-1321.335
3277,-1299.405
3278,-1322.925
3279,-1321.14
3280,-1312.215
3281,-1299.45
3282,-1302.1
3283,-1290.18
3284,-1317.295
3285,-1318.11
3286,-1295.775
3287,-1285.96
3288,-1286.74
3289,-1284.975
3290,-1303.365
3291,-1281.455
3292,-1323.57
3293,-1292.975
3294,-1300.135
3295,-1302.3
3296,-1258.52
3297,-1213.65
3298,-1313.09
3299,-1314.78
3300,-1200.215
3301,-1299.755
3302,-1327.01
3303,-1311.885
3304,-1261.01
3305,-1179.565
3306,-1303.045
3307,-1294.13
3308,-1310.925
3309,-1293.17
3310,-1268.635
3311,-1306.635
3312,-1302.48
3313,-1318.43
3314,-1302.735
3315,-1315.395
3316,-1328.595
3317,-1299.19
3318,-1198.185
3319,-1323.81
3320,-1318.305
3321,-1315.795
3322,-1312.84
3323,-1309.68
3324,-1229.085
3325,-1298.09
3326,-1302.81
3327,-1232.735
3328,-1300.05
3329,-1310.43
3330,-1292.43
3331,-1299.85
3332,-1302.74
3333,-1245.325
3334,-1319.45
3335,-1322.745
3336,-1288.175
3337,-1301.98
3338,-1321.75
3339,-1234.74
3340,-1321.58
3341,-1313.115
3342,-1314.21
3343,-1296.755
3344,-1308.925
3345,-1300.945
3346,-1314.75
3347,-1254.4
3348,-1213.455
3349,-1234.055
3350,-1310.21
3351,-1306.78
3352,-1244.56
3353,-1303.875
3354,-1268.49
3355,-1296.85
3356,-1290.76
3357,-1323.535
3358,-1321.695
3359,-1273.71
3360,-1301.88
3361,-1308.17
3362,-1308.68
3363,-1246.065
3364,-1314.945
3365,-1290.575
3366,-1287.45
3367,-1297.99
3368,-1302.315
3369,-1312.27
3370,-1272.58
3371,-1307.415
3372,-1283.34
3373,-1315.09
3374,-1287.875
3375,-1303.59
3376,-1307.375
3377,-1187.535
3378,-1317.48
3379,-1309.9
3380,-1279.755
3381,-1315.15
3382,-1252.67
3383,-1238.47
3384,-1308.075
3385,-1321.295
3386,-1294.275
3387,-1303.85
3388,-1303.48
3389,-1296.15
3390,-1290.865
3391,-1312.87
3392,-1247.295
3393,-1273.55
3394,-1303.155
3395,-1312.375
3396,-1313.75
3397,-1297.195
3398,-1239.685
3399,-1303.0
