Instance,Mean Reward
1110,-379.96666666666664
1111,-374.1
1112,-373.3666666666667
1113,-373.1666666666667
1114,-372.8666666666667
1115,-377.76666666666665
1116,-378.6666666666667
1117,-371.1
1118,-373.6
1119,-373.9
1120,-378.03333333333336
1121,-372.8
1122,-378.26666666666665
1123,-374.06666666666666
1124,-375.26666666666665
1125,-378.26666666666665
1126,-380.53333333333336
1127,-377.46666666666664
1128,-376.9
1129,-374.2
1130,-374.1666666666667
1131,-378.6666666666667
1132,-374.8666666666667
1133,-371.53333333333336
1134,-373.96666666666664
1135,-378.56666666666666
1136,-375.8
1137,-376.06666666666666
1138,-372.4
1139,-378.26666666666665
1140,-373.7
1141,-371.5
1142,-373.7
1143,-371.96666666666664
1144,-378.93333333333334
1145,-372.4
1146,-379.7
1147,-376.96666666666664
1148,-379.53333333333336
1149,-374.96666666666664
