Instance,Mean Reward
3200,-40.0
3201,-40.0
3202,-40.0
3203,-40.0
3204,-40.0
3205,-40.0
3206,-40.0
3207,-40.0
3208,-40.0
3209,-40.0
3210,-40.0
3211,-40.0
3212,-40.0
3213,-40.0
3214,-40.0
3215,-40.0
3216,-40.0
3217,-40.0
3218,-40.0
3219,-40.0
3220,-40.0
3221,-40.0
3222,-40.0
3223,-40.0
3224,-40.0
3225,-40.0
3226,-40.0
3227,-40.0
3228,-40.0
3229,-40.0
3230,-40.0
3231,-40.0
3232,-40.0
3233,-40.0
3234,-40.0
3235,-40.0
3236,-40.0
3237,-40.0
3238,-40.0
3239,-40.0
3240,-40.0
3241,-40.0
3242,-40.0
3243,-40.0
3244,-40.0
3245,-40.0
3246,-40.0
3247,-40.0
3248,-40.0
3249,-40.0
3250,-40.0
3251,-40.0
3252,-40.0
3253,-40.0
3254,-40.0
3255,-40.0
3256,-40.0
3257,-40.0
3258,-40.0
3259,-40.0
3260,-40.0
3261,-40.0
3262,-40.0
3263,-40.0
3264,-40.0
3265,-40.0
3266,-40.0
3267,-40.0
3268,-40.0
3269,-40.0
3270,-40.0
3271,-40.0
3272,-40.0
3273,-40.0
3274,-40.0
3275,-40.0
3276,-40.0
3277,-40.0
3278,-40.0
3279,-40.0
3280,-40.0
3281,-40.0
3282,-40.0
3283,-40.0
3284,-40.0
3285,-40.0
3286,-40.0
3287,-40.0
3288,-40.0
3289,-40.0
3290,-40.0
3291,-40.0
3292,-40.0
3293,-40.0
3294,-40.0
3295,-40.0
3296,-40.0
3297,-40.0
3298,-40.0
3299,-40.0
3300,-40.0
3301,-40.0
3302,-40.0
3303,-40.0
3304,-40.0
3305,-40.0
3306,-40.0
3307,-40.0
3308,-40.0
3309,-40.0
3310,-40.0
3311,-40.0
3312,-40.0
3313,-40.0
3314,-40.0
3315,-40.0
3316,-40.0
3317,-40.0
3318,-40.0
3319,-40.0
3320,-40.0
3321,-40.0
3322,-40.0
3323,-40.0
3324,-40.0
3325,-40.0
3326,-40.0
3327,-40.0
3328,-40.0
3329,-40.0
3330,-40.0
3331,-40.0
3332,-40.0
3333,-40.0
3334,-40.0
3335,-40.0
3336,-40.0
3337,-40.0
3338,-40.0
3339,-40.0
3340,-40.0
3341,-40.0
3342,-40.0
3343,-40.0
3344,-40.0
3345,-40.0
3346,-40.0
3347,-40.0
3348,-40.0
3349,-40.0
3350,-40.0
3351,-40.0
3352,-40.0
3353,-40.0
3354,-40.0
3355,-40.0
3356,-40.0
3357,-40.0
3358,-40.0
3359,-40.0
3360,-40.0
3361,-40.0
3362,-40.0
3363,-40.0
3364,-40.0
3365,-40.0
3366,-40.0
3367,-40.0
3368,-40.0
3369,-40.0
3370,-40.0
3371,-40.0
3372,-40.0
3373,-40.0
3374,-40.0
3375,-40.0
3376,-40.0
3377,-40.0
3378,-40.0
3379,-40.0
3380,-40.0
3381,-40.0
3382,-40.0
3383,-40.0
3384,-40.0
3385,-40.0
3386,-40.0
3387,-40.0
3388,-40.0
3389,-40.0
3390,-40.0
3391,-40.0
3392,-40.0
3393,-40.0
3394,-40.0
3395,-40.0
3396,-40.0
3397,-40.0
3398,-40.0
3399,-40.0
