Instance,Mean Reward
1110,-687.7083333333334
1111,-635.425
1112,-620.4833333333333
1113,-816.9666666666667
1114,-859.55
1115,-651.05
1116,-831.7166666666667
1117,-647.9333333333333
1118,-957.8166666666667
1119,-702.4083333333333
1120,-672.925
1121,-567.425
1122,-732.0083333333333
1123,-834.7583333333333
1124,-629.2916666666666
1125,-825.2583333333333
1126,-745.5
1127,-817.7083333333334
1128,-622.3
1129,-906.5833333333334
1130,-776.4666666666667
1131,-877.775
1132,-750.0
1133,-748.2166666666667
1134,-596.1916666666667
1135,-703.9166666666666
1136,-694.2
1137,-642.4166666666666
1138,-661.9416666666667
1139,-626.0083333333333
1140,-793.4833333333333
1141,-927.3666666666667
1142,-926.3416666666667
1143,-517.675
1144,-730.8583333333333
1145,-794.5916666666667
1146,-653.8333333333334
1147,-859.15
1148,-802.0333333333333
1149,-716.1
