Instance,Mean Reward
2200,-60.0
2201,-59.88
2202,-59.77
2203,-59.415
2204,-57.925
2205,-59.99
2206,-46.965
2207,-60.0
2208,-59.495
2209,-60.0
2210,-55.225
2211,-60.0
2212,-60.0
2213,-60.0
2214,-60.0
2215,-60.0
2216,-59.63
2217,-60.0
2218,-60.0
2219,-59.64
2220,-59.98
2221,-59.815
2222,-59.97
2223,-60.0
2224,-60.0
2225,-60.0
2226,-60.0
2227,-60.0
2228,-59.925
2229,-60.0
2230,-60.0
2231,-59.925
2232,-60.0
2233,-59.285
2234,-60.0
2235,-59.975
2236,-41.085
2237,-60.0
2238,-59.76
2239,-60.0
2240,-59.785
2241,-59.495
2242,-60.0
2243,-60.0
2244,-55.16
2245,-60.0
2246,-59.58
2247,-59.06
2248,-60.0
2249,-60.0
2250,-59.535
2251,-60.0
2252,-59.555
2253,-60.0
2254,-56.225
2255,-60.0
2256,-53.94
2257,-59.975
2258,-58.74
2259,-57.46
2260,-59.875
2261,-60.0
2262,-59.95
2263,-59.715
2264,-60.0
2265,-60.0
2266,-60.0
2267,-60.0
2268,-60.0
2269,-59.755
2270,-59.83
2271,-59.91
2272,-60.0
2273,-59.96
2274,-59.61
2275,-59.8
2276,-60.0
2277,-60.0
2278,-59.985
2279,-60.0
2280,-59.49
2281,-59.84
2282,-60.0
2283,-60.0
2284,-59.895
2285,-60.0
2286,-58.36
2287,-60.0
2288,-60.0
2289,-60.0
2290,-52.82
2291,-60.0
2292,-59.49
2293,-60.0
2294,-59.51
2295,-54.51
2296,-51.63
2297,-60.0
2298,-59.97
2299,-60.0
2300,-60.0
2301,-60.0
2302,-60.0
2303,-60.0
2304,-60.0
2305,-59.98
2306,-60.0
2307,-53.36
2308,-59.935
2309,-59.995
2310,-60.0
2311,-60.0
2312,-53.29
2313,-54.745
2314,-59.68
2315,-60.0
2316,-57.705
2317,-60.0
2318,-59.87
2319,-59.865
2320,-60.0
2321,-59.425
2322,-59.275
2323,-60.0
2324,-60.0
2325,-60.0
2326,-59.905
2327,-60.0
2328,-60.0
2329,-60.0
2330,-60.0
2331,-59.935
2332,-41.69
2333,-59.89
2334,-59.995
2335,-57.78
2336,-60.0
2337,-59.955
2338,-60.0
2339,-56.13
2340,-59.22
2341,-60.0
2342,-60.0
2343,-60.0
2344,-57.67
2345,-60.0
2346,-55.86
2347,-56.25
2348,-60.0
2349,-60.0
2350,-59.515
2351,-60.0
2352,-59.91
2353,-58.925
2354,-60.0
2355,-59.855
2356,-60.0
2357,-60.0
2358,-59.61
2359,-60.0
2360,-60.0
2361,-60.0
2362,-59.71
2363,-60.0
2364,-60.0
2365,-59.665
2366,-59.5
2367,-59.995
2368,-60.0
2369,-51.935
2370,-59.51
2371,-59.705
2372,-59.54
2373,-60.0
2374,-59.975
2375,-59.14
2376,-58.0
2377,-60.0
2378,-60.0
2379,-60.0
2380,-59.91
2381,-60.0
2382,-60.0
2383,-59.98
2384,-60.0
2385,-57.805
2386,-59.93
2387,-58.26
2388,-60.0
2389,-57.595
2390,-56.1
2391,-58.69
2392,-59.49
2393,-60.0
2394,-59.94
2395,-49.445
2396,-38.35
2397,-60.0
2398,-60.0
2399,-57.76
1110,-39.266666666666666
1111,-40.0
1112,-40.0
1113,-38.833333333333336
1114,-39.266666666666666
1115,-37.06666666666667
1116,-40.0
1117,-39.5
1118,-28.333333333333332
1119,-40.0
1120,-40.0
1121,-40.0
1122,-38.333333333333336
1123,-22.8
1124,-35.6
1125,-34.666666666666664
1126,-30.5
1127,-38.733333333333334
1128,-40.0
1129,-40.0
1130,-39.733333333333334
1131,-39.4
1132,-40.0
1133,-36.333333333333336
1134,-40.0
1135,-39.8
1136,-36.6
1137,-38.46666666666667
1138,-34.43333333333333
1139,-40.0
1140,-39.7
1141,-35.03333333333333
1142,-38.766666666666666
1143,-40.0
1144,-40.0
1145,-34.5
1146,-39.4
1147,-38.36666666666667
1148,-31.633333333333333
1149,-40.0
Instance,Mean Reward
Instance,Mean Reward
910,-60.0
911,-60.0
912,-60.0
913,-60.0
914,-60.0
915,-60.0
916,-60.0
917,-60.0
918,-60.0
919,-60.0
920,-60.0
921,-60.0
922,-60.0
923,-60.0
924,-60.0
925,-60.0
926,-60.0
927,-60.0
928,-60.0
929,-60.0
930,-60.0
931,-60.0
932,-60.0
933,-60.0
934,-60.0
935,-60.0
936,-60.0
937,-60.0
938,-60.0
939,-60.0
940,-60.0
941,-60.0
942,-60.0
943,-60.0
944,-60.0
945,-60.0
946,-60.0
947,-60.0
948,-60.0
949,-60.0
