Instance,Mean Reward
3200,-199.99
3201,-200.0
3202,-200.0
3203,-200.0
3204,-200.0
3205,-200.0
3206,-200.0
3207,-200.0
3208,-200.0
3209,-199.48
3210,-200.0
3211,-200.0
3212,-200.0
3213,-200.0
3214,-200.0
3215,-200.0
3216,-200.0
3217,-200.0
3218,-200.0
3219,-200.0
3220,-200.0
3221,-200.0
3222,-200.0
3223,-200.0
3224,-200.0
3225,-199.94
3226,-200.0
3227,-199.93
3228,-200.0
3229,-200.0
3230,-200.0
3231,-200.0
3232,-200.0
3233,-200.0
3234,-200.0
3235,-199.87
3236,-199.96
3237,-200.0
3238,-200.0
3239,-199.85
3240,-200.0
3241,-200.0
3242,-200.0
3243,-200.0
3244,-199.89
3245,-200.0
3246,-199.95
3247,-199.98
3248,-200.0
3249,-200.0
3250,-200.0
3251,-200.0
3252,-200.0
3253,-200.0
3254,-200.0
3255,-200.0
3256,-200.0
3257,-200.0
3258,-200.0
3259,-200.0
3260,-200.0
3261,-200.0
3262,-200.0
3263,-200.0
3264,-200.0
3265,-200.0
3266,-200.0
3267,-200.0
3268,-200.0
3269,-200.0
3270,-199.94
3271,-200.0
3272,-199.96
3273,-200.0
3274,-200.0
3275,-200.0
3276,-200.0
3277,-200.0
3278,-200.0
3279,-199.99
3280,-200.0
3281,-200.0
3282,-200.0
3283,-200.0
3284,-200.0
3285,-199.87
3286,-200.0
3287,-200.0
3288,-200.0
3289,-199.99
3290,-199.53
3291,-200.0
3292,-200.0
3293,-200.0
3294,-200.0
3295,-200.0
3296,-200.0
3297,-200.0
3298,-200.0
3299,-200.0
3300,-200.0
3301,-200.0
3302,-199.91
3303,-200.0
3304,-200.0
3305,-200.0
3306,-200.0
3307,-200.0
3308,-200.0
3309,-199.61
3310,-200.0
3311,-200.0
3312,-200.0
3313,-200.0
3314,-200.0
3315,-200.0
3316,-199.89
3317,-200.0
3318,-200.0
3319,-200.0
3320,-200.0
3321,-200.0
3322,-199.86
3323,-200.0
3324,-200.0
3325,-200.0
3326,-200.0
3327,-200.0
3328,-200.0
3329,-200.0
3330,-199.94
3331,-200.0
3332,-200.0
3333,-200.0
3334,-200.0
3335,-200.0
3336,-200.0
3337,-200.0
3338,-200.0
3339,-200.0
3340,-200.0
3341,-200.0
3342,-200.0
3343,-200.0
3344,-200.0
3345,-200.0
3346,-200.0
3347,-200.0
3348,-200.0
3349,-200.0
3350,-200.0
3351,-200.0
3352,-200.0
3353,-200.0
3354,-200.0
3355,-200.0
3356,-199.99
3357,-200.0
3358,-200.0
3359,-200.0
3360,-200.0
3361,-200.0
3362,-200.0
3363,-200.0
3364,-200.0
3365,-200.0
3366,-200.0
3367,-200.0
3368,-200.0
3369,-200.0
3370,-200.0
3371,-200.0
3372,-200.0
3373,-200.0
3374,-200.0
3375,-200.0
3376,-200.0
3377,-200.0
3378,-200.0
3379,-200.0
3380,-199.98
3381,-200.0
3382,-200.0
3383,-200.0
3384,-200.0
3385,-200.0
3386,-200.0
3387,-200.0
3388,-200.0
3389,-200.0
3390,-200.0
3391,-200.0
3392,-200.0
3393,-200.0
3394,-200.0
3395,-200.0
3396,-200.0
3397,-200.0
3398,-200.0
3399,-200.0
