Instance,Mean Reward
1110,-721.3961799465001
1111,-713.198484588
1112,-104.2975425355
1113,-807.9600404480001
1114,-340.86778236099997
1115,-457.3457745779999
1116,-885.2010788280002
1117,-814.2760096045
1118,-254.88256430799996
1119,-722.9297844055001
1120,-239.835828653
1121,-816.030758201
1122,-969.9975422840001
1123,-275.600188464
1124,-489.62248154350004
1125,-565.0859227794999
1126,-834.3992938705
1127,-773.6410258789999
1128,-359.4992693655001
1129,-253.68260918699997
1130,-359.626494727
1131,-266.0152896535
1132,-575.4549786645
1133,-1291.3968723325002
1134,-733.8591714589999
1135,-586.9795792125
1136,-1263.1903755275
1137,-585.504124077
1138,-457.097930338
1139,-487.9754970505
1140,-247.44676048449998
1141,-897.397528222
1142,-825.2366232085001
1143,-239.55255205950002
1144,-802.888035167
1145,-575.3127786965
1146,-380.263845492
1147,-939.73184936
1148,-884.385618044
1149,-328.68520061099997
