Instance,Mean Reward
1110,751.77
1111,886.655
1112,530.1725
1113,530.7625
1114,337.00375
1115,735.8425
1116,393.27625
1117,707.265
1118,527.20125
1119,632.06625
1120,661.9025
1121,768.54375
1122,511.2325
1123,642.24
1124,826.7975
1125,336.03625
1126,668.79125
1127,846.23875
1128,859.4175
1129,380.16
1130,593.94625
1131,559.8725
1132,723.4025
1133,635.67375
1134,293.50875
1135,864.4275
1136,608.36375
1137,432.87375
1138,802.35125
1139,493.07625
1140,510.10375
1141,763.57625
1142,487.98625
1143,774.9125
1144,483.58625
1145,589.53875
1146,431.06125
1147,563.3775
1148,603.345
1149,845.29375
