Instance,Mean Reward
1110,-2066.1284
1111,-2802.0495499999997
1112,-2006.9601
1113,-2188.5308000000005
1114,-1958.9979000000003
1115,-2317.88385
1116,-1772.8057500000007
1117,-1987.1464500000009
1118,-2536.62335
1119,-2492.3653000000004
1120,-2202.7668500000004
1121,-3039.9182499999997
1122,-2447.71535
1123,-2528.1834
1124,-3265.3038
1125,-2712.3364
1126,-2164.7157000000007
1127,-2421.2131
1128,-2838.11415
1129,-2502.45355
1130,-2396.3663
1131,-2228.9419500000004
1132,-2133.5757000000003
1133,-2096.3856000000005
1134,-2386.9504
1135,-3245.394
1136,-2465.6491
1137,-2200.2294500000003
1138,-2681.927
1139,-3067.636749999999
1140,-2449.62615
1141,-2153.2048000000004
1142,-2994.6057999999994
1143,-1946.0344500000006
1144,-2959.5454
1145,-2435.46305
1146,-3276.8990499999995
1147,-1840.6906000000006
1148,-2652.9797
1149,-2603.0255
