Instance,Mean Reward
1110,-304.975
1111,-723.225
1112,-546.24
1113,-478.055
1114,-261.575
1115,-378.2
1116,-333.87
1117,-324.995
1118,-263.395
1119,-364.235
1120,-248.07
1121,-444.265
1122,-502.76
1123,-251.595
1124,-400.665
1125,-439.665
1126,-247.585
1127,-346.705
1128,-504.455
1129,-224.68
1130,-259.135
1131,-485.78
1132,-374.955
1133,-381.545
1134,-207.26
1135,-406.495
1136,-345.905
1137,-296.86
1138,-393.59
1139,-281.385
1140,-661.665
1141,-323.95
1142,-386.335
1143,-292.215
1144,-357.485
1145,-260.73
1146,-363.44
1147,-210.54
1148,-375.945
1149,-489.395
