Instance,Mean Reward
3200,-39.895
3201,-39.985
3202,-40.0
3203,-36.47
3204,-40.0
3205,-40.0
3206,-28.77
3207,-39.185
3208,-40.0
3209,-39.935
3210,-39.055
3211,-40.0
3212,-39.405
3213,-39.945
3214,-40.0
3215,-40.0
3216,-40.0
3217,-39.875
3218,-40.0
3219,-40.0
3220,-40.0
3221,-40.0
3222,-39.955
3223,-39.63
3224,-40.0
3225,-40.0
3226,-37.175
3227,-40.0
3228,-38.48
3229,-36.94
3230,-40.0
3231,-40.0
3232,-40.0
3233,-40.0
3234,-39.945
3235,-37.725
3236,-33.445
3237,-40.0
3238,-40.0
3239,-40.0
3240,-39.56
3241,-40.0
3242,-40.0
3243,-40.0
3244,-40.0
3245,-40.0
3246,-40.0
3247,-40.0
3248,-40.0
3249,-40.0
3250,-39.9
3251,-36.42
3252,-23.3
3253,-40.0
3254,-40.0
3255,-39.73
3256,-35.195
3257,-39.505
3258,-37.68
3259,-38.25
3260,-40.0
3261,-39.985
3262,-40.0
3263,-40.0
3264,-40.0
3265,-40.0
3266,-35.555
3267,-40.0
3268,-37.635
3269,-39.9
3270,-40.0
3271,-39.76
3272,-40.0
3273,-40.0
3274,-39.585
3275,-40.0
3276,-40.0
3277,-39.67
3278,-39.905
3279,-39.955
3280,-39.985
3281,-40.0
3282,-39.97
3283,-39.975
3284,-40.0
3285,-40.0
3286,-39.335
3287,-40.0
3288,-39.89
3289,-40.0
3290,-40.0
3291,-40.0
3292,-40.0
3293,-30.465
3294,-38.78
3295,-40.0
3296,-37.21
3297,-37.385
3298,-19.69
3299,-37.45
3300,-22.99
3301,-40.0
3302,-40.0
3303,-40.0
3304,-40.0
3305,-40.0
3306,-39.825
3307,-39.905
3308,-40.0
3309,-40.0
3310,-40.0
3311,-30.505
3312,-40.0
3313,-40.0
3314,-40.0
3315,-40.0
3316,-40.0
3317,-39.98
3318,-40.0
3319,-40.0
3320,-39.675
3321,-39.95
3322,-40.0
3323,-40.0
3324,-40.0
3325,-40.0
3326,-40.0
3327,-40.0
3328,-40.0
3329,-40.0
3330,-40.0
3331,-40.0
3332,-40.0
3333,-40.0
3334,-40.0
3335,-38.975
3336,-40.0
3337,-39.7
3338,-40.0
3339,-40.0
3340,-40.0
3341,-39.185
3342,-39.42
3343,-38.75
3344,-40.0
3345,-39.79
3346,-40.0
3347,-39.825
3348,-40.0
3349,-40.0
3350,-40.0
3351,-40.0
3352,-39.915
3353,-39.695
3354,-40.0
3355,-40.0
3356,-40.0
3357,-36.38
3358,-40.0
3359,-39.85
3360,-39.585
3361,-39.925
3362,-40.0
3363,-39.535
3364,-40.0
3365,-39.7
3366,-28.235
3367,-39.895
3368,-40.0
3369,-40.0
3370,-40.0
3371,-40.0
3372,-40.0
3373,-40.0
3374,-40.0
3375,-40.0
3376,-40.0
3377,-40.0
3378,-35.935
3379,-39.525
3380,-34.505
3381,-40.0
3382,-39.715
3383,-40.0
3384,-40.0
3385,-27.725
3386,-40.0
3387,-37.945
3388,-40.0
3389,-40.0
3390,-40.0
3391,-40.0
3392,-40.0
3393,-40.0
3394,-40.0
3395,-32.585
3396,-40.0
3397,-39.685
3398,-39.93
3399,-39.995
