Instance,Mean Reward
1110,-14644.5
1111,-33294.166666666664
1112,-35038.666666666664
1113,-18920.5
1114,-26648.5
1115,-51045.166666666664
1116,-14893.5
1117,-36852.0
1118,-40507.666666666664
1119,-21475.333333333332
1120,-36147.333333333336
1121,-34598.666666666664
1122,-3822.8333333333335
1123,-43359.333333333336
1124,-50381.666666666664
1125,-35365.166666666664
1126,-48522.5
1127,-50116.333333333336
1128,-45383.333333333336
1129,-36785.333333333336
1130,-34916.5
1131,-37430.333333333336
1132,-58732.833333333336
1133,-47648.0
1134,-15676.333333333334
1135,-44406.666666666664
1136,-34922.833333333336
1137,-21472.333333333332
1138,-38200.666666666664
1139,-44110.833333333336
1140,-40287.166666666664
1141,-42728.833333333336
1142,-32606.5
1143,-37536.833333333336
1144,-20725.666666666668
1145,-40711.666666666664
1146,-31636.333333333332
1147,-46299.5
1148,-24346.833333333332
1149,-21903.833333333332
