domain,prost,no_dist,no_kl,kl_decay,kl,random
tamarisk,0.87,0.93,0.94,0.94,0.92,0.0
traffic,0.91,0.88,0.92,0.85,0.88,0.0
sysadmin,0.77,0.87,0.89,0.87,0.87,0.0
skill_teaching,0.85,0.87,0.87,0.84,0.76,0.0
navigation,0.0,0.92,0.88,0.88,0.89,0.0
triangle_tireworld,0.03,0.86,0.86,0.84,0.82,0.0
recon,0.67,0.29,0.4,0.37,0.29,0.0
elevators,0.92,0.96,0.95,0.9,0.94,0.0
academic_advising,0.64,0.9,0.81,0.95,0.97,0.0
crossing_traffic,0.35,0.86,0.7,0.78,0.98,0.0
game_of_life,0.34,0.79,0.94,0.73,0.43,0.0
wildfire,0.61,0.84,0.85,0.86,0.8,0.0
