Domain,no_dist_run1,no_dist_run2,no_dist_run3,no_dist_run4,no_dist_run5,kl_decay_run1,kl_decay_run2,kl_decay_run3,kl_decay_run4,kl_decay_run5,no_kl_run1,no_kl_run2,no_kl_run3,no_kl_run4,no_kl_run5,kl_run1,kl_run2,kl_run3,kl_run4,kl_run5,prost,random
tamarisk,0.91,0.92,0.89,0.89,0.89,0.9,0.89,0.9,0.91,0.9,0.92,0.91,0.93,0.91,0.89,0.91,0.9,0.91,0.89,0.9,0.86,0.0
traffic,0.9,0.88,0.87,0.9,0.86,0.85,0.86,0.83,0.87,0.86,0.85,0.89,0.83,0.84,0.82,0.86,0.86,0.86,0.81,0.86,0.91,0.0
sysadmin,0.76,0.72,0.85,0.81,0.82,0.81,0.83,0.85,0.84,0.8,0.87,0.82,0.75,0.79,0.83,0.82,0.78,0.84,0.83,0.83,0.76,0.0
skill_teaching,0.84,0.78,0.86,0.83,0.79,0.76,0.83,0.75,0.84,0.67,0.85,0.84,0.84,0.77,0.73,0.63,0.7,0.68,0.74,0.75,0.84,0.0
navigation,0.09,0.69,0.59,0.45,0.88,0.87,0.84,0.86,0.8,0.87,0.78,0.29,0.2,0.88,0.5,0.85,0.85,0.87,0.72,0.27,0.0,0.0
triangle_tireworld,0.76,0.79,0.82,0.76,0.77,0.77,0.82,0.76,0.8,0.22,0.77,0.59,0.8,0.53,0.79,0.81,0.8,0.66,0.74,0.7,0.03,0.0
recon,0.41,0.3,0.3,0.35,0.37,0.23,0.36,0.19,0.37,0.31,0.21,0.41,0.61,0.48,0.41,0.18,0.29,0.27,0.21,0.26,0.59,0.0
elevators,0.9,0.91,0.92,0.95,0.93,0.94,0.28,0.81,0.86,0.66,0.92,0.88,0.88,0.89,0.76,0.93,0.9,0.9,0.92,0.9,0.91,0.0
academic_advising,0.88,0.85,0.9,0.64,0.86,0.92,0.55,0.78,0.8,0.86,0.89,0.68,0.62,0.65,0.79,0.8,0.89,0.75,0.88,0.67,0.64,0.0
crossing_traffic,0.65,0.91,0.76,0.89,0.82,0.77,0.86,0.81,0.72,0.76,0.76,0.84,0.81,0.77,0.8,0.76,0.72,0.89,0.83,0.8,0.34,0.0
game_of_life,0.71,0.51,0.47,0.63,0.78,0.66,0.66,0.58,0.7,0.47,0.88,0.8,0.64,0.74,0.73,0.53,0.56,0.21,0.4,0.36,0.32,0.0
wildfire,0.82,0.83,0.72,0.8,0.75,0.79,0.83,0.69,0.76,0.77,0.82,0.75,0.78,0.8,0.82,0.65,-0.27,0.76,-0.1,-0.13,0.57,0.0
